firstmonthly_mocperkgCO2,firstlast_mocomp,firstmonthly_coins_allocated,firstmonthly_coins_needed,firstmonthly_lastday_market_delta,firstlast_cardem,firstlast_busdem,firstlast_bikedem,firstlast_flows_car,firstlast_flows_bus,firstlast_flows_bike,firstmonthly_mocos_car,firstmonthly_mocos_bus,firstmonthly_mocos_bike,firstmonthly_emissions_car,firstmonthly_emissions_bus,firstmonthly_total_tt,firstmonthly_total_tt_c,firstmonthly_total_tt_b,firstmonthly_total_tt_r,firstmonthly_total_dist_car,firstmonthly_total_dist_bus,firstmonthly_total_dist_rad,firstlasttotalcardem,firstlasttotalbusdem,firstlasttotalbikedem,firstlasttotaldem,firstcoinsallocated,firstgroupparticipants,lastavailable_firstgroupmocos,lastfirstgroup_crowdfunding,monthlyfirstgroup_crowdfunding,firstgroup_totalcardem,firstgroup_totalbusdem,firstgroup_totalbikedem,firstgroup_totaldem,first_group_first_month_difference_of_demand
1.0,1.0,9.6879e6,644210.2838437996,321280.2838437996,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,551711.7362494251,92498.54759437454,0.0,556976.7790011276,93204.62632026206,4.1148319847510606e7,3.045478071790424e6,3.091300168140466e7,0,2.292085510292706e6,5.1780347955701165e6,2.3383609889872028e6,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,9.36497e6,7927.87628269923,7927.87628269923,273984.87158666743,273984.87158666743,273984.87158666743,273984.87158666743,1.0544015128413334e7
2.0,1.0,9.6879e6,1.2884205676875992e6,329208.16012649884,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,1.1034234724988502e6,184997.09518874908,0.0,1.1139535580022552e6,186409.25264052412,8.229663969502121e7,6.090956143580848e6,6.182600336280932e7,0,4.584171020585412e6,1.0356069591140233e7,4.6767219779744055e6,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,9.04204e6,9567.227749154405,17495.104031853632,547969.7431733349,547969.7431733349,547969.7431733349,547969.7431733349,1.0270030256826667e7
3.0,1.0,9.6879e6,1.932630851531399e6,330847.511592954,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,1.6551352087482754e6,277495.64278312365,0.0,1.6709303370033829e6,279613.87896078615,1.2344495954253182e8,9.136434215371273e6,9.273900504421398e7,0,6.876256530878118e6,1.553410438671035e7,7.015082966961608e6,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,8.71911e6,11531.840493348442,29026.944525202074,821954.6147600024,821954.6147600024,821954.6147600024,821954.6147600024,9.99604538524e6
4.0,1.0,9.6879e6,2.5768411353751984e6,332812.12433714804,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,2.2068469449977004e6,369994.19037749816,0.0,2.2279071160045103e6,372818.50528104824,1.6459327939004242e8,1.2181912287161697e7,1.2365200672561865e8,0,9.168342041170824e6,2.0712139182280466e7,9.353443955948811e6,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,8.39618e6,13882.152458624716,42909.09698382679,1.0959394863466697e6,1.0959394863466697e6,1.0959394863466697e6,1.0959394863466697e6,9.722060513653332e6
5.0,1.0,9.6879e6,3.221051419218998e6,335162.43630242435,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,2.7585586812471254e6,462492.7379718727,0.0,2.784883895005638e6,466023.13160131034,2.0574159923755303e8,1.522739035895212e7,1.545650084070233e8,0,1.146042755146353e7,2.5890173977850582e7,1.1691804944936015e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,8.07325e6,16688.5577365593,59597.6547203861,1.369924357933337e6,1.369924357933337e6,1.369924357933337e6,1.369924357933337e6,9.448075642066665e6
6.0,1.0,9.6879e6,3.8652617030627974e6,337968.8415803589,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,3.3102704174965504e6,554991.2855662472,0.0,3.3418606740067652e6,559227.7579215724,2.4688991908506364e8,1.8272868430742543e7,1.8547801008842796e8,0,1.3752513061756235e7,3.10682087734207e7,1.4030165933923218e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,7.75032e6,20032.623592459197,79630.2783128453,1.6439092295200045e6,1.6439092295200045e6,1.6439092295200045e6,1.6439092295200045e6,9.174090770479998e6
7.0,1.0,9.6879e6,4.509471986906597e6,341312.9074362588,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,3.8619821537459753e6,647489.8331606217,0.0,3.8988374530078927e6,652432.3842418345,2.880382389325743e8,2.1318346502532966e7,2.163910117698326e8,0,1.604459857204894e7,3.624624356899081e7,1.6368526922910422e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,7.42739e6,24008.297777836007,103638.57609068131,1.9178941011066718e6,1.9178941011066718e6,1.9178941011066718e6,1.9178941011066718e6,8.90010589889333e6
8.0,1.0,9.6879e6,5.153682270750397e6,345288.5816216356,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,4.413693889995401e6,739988.3807549962,0.0,4.455814232009021e6,745637.0105620966,3.2918655878008485e8,2.436382457432339e7,2.4730401345123726e8,0,1.8336684082341645e7,4.142427836456093e7,1.8706887911897626e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,7.10446e6,28723.02620536019,132361.6022960415,2.1918789726933395e6,2.1918789726933395e6,2.1918789726933395e6,2.1918789726933395e6,8.626121027306663e6
9.0,1.0,9.6879e6,5.797892554594196e6,350003.3100491598,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,4.965405626244826e6,832486.9283493707,0.0,5.012791011010149e6,838841.6368823587,3.703348786275954e8,2.7409302646113813e7,2.782170151326419e8,0,2.062876959263435e7,4.660231316013105e7,2.104524890088483e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,6.78153e6,34298.6619528933,166660.2642489348,2.465863844280007e6,2.465863844280007e6,2.465863844280007e6,2.465863844280007e6,8.3521361557199955e6
10.0,1.0,9.6879e6,6.442102838437996e6,355578.9457966929,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,5.517117362494252e6,924985.4759437452,0.0,5.5697677900112765e6,932046.2632026208,4.11483198475106e8,3.0454780717904236e7,3.0913001681404656e8,0,2.2920855102927055e7,5.178034795570117e7,2.3383609889872033e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,6.4586e6,40871.99295649413,207532.25720542893,2.739848715866674e6,2.739848715866674e6,2.739848715866674e6,2.739848715866674e6,8.078151284133328e6
11.0,1.0,9.6879e6,7.086313122281795e6,362152.2768002937,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,6.068829098743677e6,1.0174840235381197e6,0.0,6.126744569012404e6,1.0252508895228829e6,4.526315183226166e8,3.350025878969466e7,3.400430184954512e8,0,2.521294061321976e7,5.695838275127129e7,2.5721970878859237e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,6.13567e6,48594.64285896609,256126.90006439504,3.0138335874533416e6,3.0138335874533416e6,3.0138335874533416e6,3.0138335874533416e6,7.804166412546661e6
12.0,1.0,9.6879e6,7.730523406125595e6,369874.9267027657,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,6.620540834993103e6,1.1099825711324944e6,0.0,6.683721348013532e6,1.1184555158431449e6,4.9377983817012715e8,3.654573686148509e7,3.7095602017685586e8,0,2.7505026123512466e7,6.213641754684141e7,2.806033186784644e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,5.81274e6,57632.00102783546,313758.9010922305,3.287818459040009e6,3.287818459040009e6,3.287818459040009e6,3.287818459040009e6,7.530181540959993e6
13.0,1.0,9.6879e6,8.374733689969394e6,378912.2848716351,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,7.172252571242528e6,1.2024811187268689e6,0.0,7.24069812701466e6,1.2116601421634068e6,5.349281580176377e8,3.959121493327551e7,4.018690218582605e8,0,2.979711163380517e7,6.731445234241153e7,3.0398692856833644e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,5.48981e6,68160.70554681274,381919.60663904325,3.5618033306266763e6,3.5618033306266763e6,3.5618033306266763e6,3.5618033306266763e6,7.256196669373326e6
14.0,1.0,9.6879e6,9.018943973813195e6,389440.98939061235,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,7.7239643074919535e6,1.2949796663212434e6,0.0,7.797674906015788e6,1.3048647684836688e6,5.760764778651483e8,4.263669300506594e7,4.3278202353966516e8,0,3.2089197144097876e7,7.249248713798165e7,3.2737053845820848e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,5.16688e6,80364.0263265608,462283.6329656041,3.8357882022133437e6,3.8357882022133437e6,3.8357882022133437e6,3.8357882022133437e6,6.982211797786659e6
15.0,1.0,9.6879e6,9.663154257656995e6,401644.3101703604,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,8.275676043741379e6,1.387478213915618e6,0.0,8.354651685016916e6,1.3980693948039308e6,6.172247977126589e8,4.568217107685637e7,4.636950252210698e8,0,3.438128265439058e7,7.767052193355177e7,3.507541483480805e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,4.84395e6,94424.2604580221,556707.8934236262,4.109773073800011e6,4.109773073800011e6,4.109773073800011e6,4.109773073800011e6,6.708226926199991e6
16.0,1.0,9.6879e6,1.0307364541500796e7,415704.54430182173,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,8.827387779990803e6,1.4799767615099924e6,0.0,8.911628464018043e6,1.4912740211241927e6,6.583731175601695e8,4.8727649148646794e7,4.9460802690247446e8,0,3.667336816468329e7,8.28485567291219e7,3.741377582379525e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,4.52102e6,110510.9404644789,667218.8338881051,4.383757945386679e6,4.383757945386679e6,4.383757945386679e6,4.383757945386679e6,6.434242054613323e6
17.0,1.0,9.6879e6,1.0951574825344596e7,431791.2243082785,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,9.379099516240228e6,1.572475309104367e6,0.0,9.468605243019171e6,1.5844786474444547e6,6.9952143740768e8,5.177312722043722e7,5.255210285838791e8,0,3.8965453674976e7,8.802659152469201e7,3.975213681278245e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,4.19809e6,128763.24474727255,795982.0786353777,4.657742816973346e6,4.657742816973346e6,4.657742816973346e6,4.657742816973346e6,6.160257183026656e6
18.0,1.0,9.6879e6,1.1595785109188396e7,450043.5285910722,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,9.930811252489652e6,1.6649738566987414e6,0.0,1.0025582022020299e7,1.6776832737647167e6,7.406697572551906e8,5.481860529222765e7,5.564340302652838e8,0,4.125753918526871e7,9.320462632026213e7,4.209049780176965e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,3.87516e6,149264.4579016461,945246.5365370237,4.931727688560014e6,4.931727688560014e6,4.931727688560014e6,4.931727688560014e6,5.886272311439988e6
19.0,1.0,9.6879e6,1.2239995393032197e7,470544.7417454457,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,1.0482522988739077e7,1.757472404293116e6,0.0,1.0582558801021427e7,1.7708879000849787e6,7.818180771027012e8,5.7864083364018075e7,5.873470319466885e8,0,4.354962469556142e7,9.838266111583225e7,4.442885879075685e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,3.55223e6,172005.61745319475,1.1172521539902184e6,5.205712560146681e6,5.205712560146681e6,5.205712560146681e6,5.205712560146681e6,5.612287439853321e6
20.0,1.0,9.6879e6,1.2884205676875997e7,493285.90129699436,273984.87158666743,560848.0095778791,246967.11883545358,600897.1741188254,1.3802415997988204e6,604500.1221862278,1.1034234724988502e7,1.8499709518874905e6,0.0,1.1139535580022555e7,1.8640925264052406e6,8.229663969502118e8,6.09095614358085e7,6.182600336280932e8,0,4.5841710205854125e7,1.0356069591140237e8,4.676721977974405e7,273984.87158666743,560848.0095778791,246967.11883545358,1.0818000000000002e6,9.6879e6,1.0818000000000002e7,3.2293e6,196834.55227537884,1.3140867062655971e6,5.479697431733348e6,5.479697431733348e6,5.479697431733348e6,5.479697431733348e6,5.338302568266653e6
