mocperkgCO2,mocomp,coins_allocated,coins_needed,market_delta,cardem,busdem,bikedem,flows_car,flows_bus,flows_bike,mocos_car,mocos_bus,mocos_bike,emissions_car,emissions_bus,total_tt,total_tt_c,total_tt_b,total_tt_r,total_dist_car,total_dist_bus,total_dist_rad
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
1.0,9.790464792700833,655030,655038.4670153875,8.467015387490392,266928.6976070624,560297.372597969,254573.92979496854,580738.8858280513,1.3775157105184486e6,626985.4919195444,321863.7882880859,333174.6787273016,0.0,324951.33952863223,335695.13247102196,4.346163228729729e7,2.9672586538657746e6,7.332711768367514e6,3.3161661865064003e7,2.210553330126751e6,5.164540499554185e6,2.4265123651368483e6
